playlist,name,artists,duration,link
Daily Mix 6,Oceaan,Racoon,02:44,https://open.spotify.com/track/7GWU6dQFjYF5YpsAUwZfGq
Daily Mix 6,Honderd Keer,Suzan & Freek,03:16,https://open.spotify.com/track/35i2wSWfDTxxBMUCNnmosW
Daily Mix 6,Door De Wind,Miss Montreal;Beste Zangers,02:50,https://open.spotify.com/track/3h7NZT1CATbn4GqUs51vwf
Daily Mix 6,Vluchtstrook,Kris Kross Amsterdam;Antoon;Sigourney K,02:28,https://open.spotify.com/track/63JrADDfrcjOaI6lyVkN3c
Daily Mix 6,Pizza Met Ananas,Snelle,02:42,https://open.spotify.com/track/5MCYr1sRABY6kNKdRK4ey7
Daily Mix 6,Als Jij Maar Bij Me Bent,MEAU,02:40,https://open.spotify.com/track/3x599jtfaReHmd6Ba77PD0
Daily Mix 6,Leven,Maan,02:14,https://open.spotify.com/track/2Mv9R8FDkPCjAghezGUgJC
Daily Mix 6,Zij Wil Mij,FLEMMING,02:36,https://open.spotify.com/track/3Falq0rEoroeaZqNp9UDIY
Daily Mix 6,Bieber Van De Kroeg,Donnie;Mart Hoogkamer,03:06,https://open.spotify.com/track/5V2cXsvFE3VIQp5mYAi3Mn
Daily Mix 6,Tussen Jou & Mij,Suzan & Freek,03:33,https://open.spotify.com/track/0YG5tlBAb11QwxdnXjvDPq
Daily Mix 6,Love Myself,RONDÉ,02:59,https://open.spotify.com/track/0iBWf9gz65kHxuQkZkrNUc
Daily Mix 6,Mijn Kleine Presidentje,Jaap Reesema,03:22,https://open.spotify.com/track/5Vrrxddu2CDh1wfysRPZJZ
Daily Mix 6,Dat heb jij gedaan,MEAU,03:31,https://open.spotify.com/track/6lgIi3ixBsr4cMt3r19yX9
Daily Mix 6,Missen Zou,Thomas Acda;Rolf Sanchez;Kraantje Pappie,02:47,https://open.spotify.com/track/2rdAPax7p9QRghy0wKiw6d
Daily Mix 6,Niks Mee Te Maken,Snelle,02:52,https://open.spotify.com/track/3wumtijPLTctdCnXASPH0C
Daily Mix 6,Soldier On,DI-RECT,03:27,https://open.spotify.com/track/5U9iJk3ONTlZCSJrokOP1i
Daily Mix 6,Giving Up On You,Milow,02:43,https://open.spotify.com/track/3ZKU3EI5ETrtqaEzirOHtE
Daily Mix 6,Roller Coaster,Danny Vera,04:29,https://open.spotify.com/track/5B5YKjgne3TZzNpMsN9aj1
Daily Mix 6,Stap Maar In Bij Mij,Paul de Munnik;MEAU,02:36,https://open.spotify.com/track/2maXKeQyysFAKH9sPaiLMX
Daily Mix 6,Afgesloten,MEAU,03:04,https://open.spotify.com/track/0C2GwAV0SlE1r8dkyYYpXl
Daily Mix 6,Dit Is Voor Jou - Uit Liefde Voor Muziek,Suzan & Freek,03:33,https://open.spotify.com/track/7CexaMBV2m7p3skcHawND8
Daily Mix 6,Vallen en Opstaan,Zoë Livay,02:37,https://open.spotify.com/track/0Z0Sm2yfevVYx7SGsaHsl1
Daily Mix 6,Achterop,Xerxes,02:40,https://open.spotify.com/track/5JtmyVfB56KjesfcJlIQAA
Daily Mix 6,Laat De Wereld Maar Draaien,Sterre Koning;Waylon,03:16,https://open.spotify.com/track/082BW5PFgLpzhJjnIqjAkU
Daily Mix 6,Hazes,Billy Dans,02:52,https://open.spotify.com/track/6ftKmZdphjV48QRbGjrIyd
Daily Mix 6,Dicht Bij Mij,Yves Berendse;Jim Bakkum,03:55,https://open.spotify.com/track/1rgjjGW3MpoT8suxbrlIrT
Daily Mix 6,Ouder,MEAU,03:13,https://open.spotify.com/track/5Wz9FQ2UQQFcMvZwjnJq9e
Daily Mix 6,Onderweg Naar Later,Suzan & Freek,02:57,https://open.spotify.com/track/5rES9eqpHTAlv7jVY1SUQn
Daily Mix 6,Laat Mij Een Vlinder Zijn,Emma Kok,03:10,https://open.spotify.com/track/6HuzZ8Igm2XH0xjygHyS0u
Daily Mix 6,Amsterdam,FLEMMING,02:52,https://open.spotify.com/track/0GRc10CjRqO0wtXUnxR1uY
Daily Mix 6,Hockeymeisjes,Bizzey;Kraantje Pappie;IMMO,03:36,https://open.spotify.com/track/1wxQq2r5Pq5KYuhPJuQeMP
Daily Mix 6,Zeg Maar Niets Meer - Hazes Is De Basis,Bente,02:45,https://open.spotify.com/track/4UC728tVjFpohnz0MD1iu9
Daily Mix 6,Voor Je Van Me Houdt,Jaap Reesema,03:17,https://open.spotify.com/track/4tZ48Jzs8VE3B3dQaB33sX
Daily Mix 6,Relativeren,MEAU,02:50,https://open.spotify.com/track/0WDNowRCf1ilDsiRimbsiB
Daily Mix 6,Dromen In Kleur,Suzan & Freek,03:21,https://open.spotify.com/track/2KqRs4eFBBo4xkZWbZhGPc
Daily Mix 6,Bitterzoet,BLØF,03:47,https://open.spotify.com/track/79KLL7jp9P2SEGo4RNeTO7
Daily Mix 6,Waar Dan Ook,Miss Montreal,03:08,https://open.spotify.com/track/3VpHlezGLW8KDbpHtg7zuh
Daily Mix 6,Tijd Verliezen,Racoon,03:56,https://open.spotify.com/track/6tcCTgpI1JWsgReB9ttSUD
Daily Mix 6,Hard To Say Goodbye,RONDÉ,03:14,https://open.spotify.com/track/3AT0yKs2cWdKII3JBxzmqv
Daily Mix 6,Dinsdag,Nick & Simon,02:41,https://open.spotify.com/track/4zRgGyGGKC8BoZ7GktByld
Daily Mix 6,Kalmte,MEAU,03:09,https://open.spotify.com/track/07QCLh42ds9jBpmxLYoSjB
Daily Mix 6,Goud,Suzan & Freek,03:22,https://open.spotify.com/track/5SaapweQAEx7X1R47ItZ75
Daily Mix 6,Ze Meent Het,Metejoor,03:02,https://open.spotify.com/track/4h0L0cDM4P7u247xGn8BH2
Daily Mix 6,"Hoofd Leeg, Hart Vrij",Jan Smit,02:56,https://open.spotify.com/track/6oJZbbUxFevwaiGoSVQDeR
Daily Mix 6,Historie Van Een Man,Racoon,03:29,https://open.spotify.com/track/4lsXwJ3qdtoFxEkIcp7Q5O
Daily Mix 6,In Jouw Ogen,Ali B,02:46,https://open.spotify.com/track/21Kslbnlowqb00PmDZOK40
Daily Mix 6,Through The Looking Glass,DI-RECT,03:49,https://open.spotify.com/track/7j2TJXhcE1aAzB6Evmgvm0
Daily Mix 6,Kans,MEAU,03:26,https://open.spotify.com/track/0U4Zz2A08Vjly9vlQr2fbr
Daily Mix 6,De Overkant,Suzan & Freek;Snelle,02:47,https://open.spotify.com/track/6qoh8fAoY7eVMIIKPKNSWX
Daily Mix 6,Rendez-Vous,Metejoor;Emma Heesters,03:20,https://open.spotify.com/track/6DdAXTUEA5PshecwouRGb7
