playlist,name,artists,duration,link
Daily Mix 4,Dancing Feet (feat. DNCE),Kygo;DNCE,03:35,https://open.spotify.com/track/4RAR8g8fZNB106ezUurnE0
Daily Mix 4,Eyes Don’t Lie,Tones And I,03:56,https://open.spotify.com/track/2RSqIGxbnTQQjZIS5Iyakn
Daily Mix 4,Anyone For You (Tiger Lily),George Ezra,03:07,https://open.spotify.com/track/5iFQfP3AqVnHHS89LKQisL
Daily Mix 4,redruM,Sorana;David Guetta,02:52,https://open.spotify.com/track/0pnG6sIThf9kp9ebTqn44L
Daily Mix 4,West Coast,OneRepublic,03:12,https://open.spotify.com/track/0sBJA2OCEECMs0HsdIQhvR
Daily Mix 4,Shut Off The Lights,Bastille,03:07,https://open.spotify.com/track/6Dcz7Zg0I9Zu88QCQfQmmO
Daily Mix 4,Crazy What Love Can Do,David Guetta;Becky Hill;Ella Henderson,02:49,https://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq
Daily Mix 4,The Motto,Tiësto;Ava Max,02:44,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
Daily Mix 4,Everything But You (feat. A7S),Clean Bandit;A7S,03:18,https://open.spotify.com/track/2wVQcA1YCuGL6EW0QbgVoV
Daily Mix 4,Melody,Sigala,02:47,https://open.spotify.com/track/6Owc2SuzwO3LW1SAODYK3l
Daily Mix 4,You Were Loved (with OneRepublic),Gryffin;OneRepublic,03:41,https://open.spotify.com/track/4W1JavoraGzh83nluQHY6C
Daily Mix 4,Sunshine,OneRepublic,02:43,https://open.spotify.com/track/5r43qanLhUCdBj8HN3fa6B
Daily Mix 4,What Would You Do?,Joel Corry;David Guetta;Bryson Tiller,02:54,https://open.spotify.com/track/1D2ZNECRd7KIlA4pyOUGsv
Daily Mix 4,Where Are You Now,Lost Frequencies;Calum Scott,02:28,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
Daily Mix 4,Good Luck,Mabel;Jax Jones;Galantis,03:55,https://open.spotify.com/track/7CTdh15dTO5HqoeqRPHFha
Daily Mix 4,Bad Habits,Ed Sheeran,03:50,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
Daily Mix 4,Where Did You Go? (feat. MNEK),Jax Jones;MNEK,02:57,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8
Daily Mix 4,Belly Dancer,Imanbek;BYOR,02:31,https://open.spotify.com/track/7fZBQnc0zXwVybgCIrQQil
Daily Mix 4,Give Me The Reason,James Bay,03:54,https://open.spotify.com/track/5viz8trU1uh1pngW0hWr3l
Daily Mix 4,Run Into Trouble,Alok;Bastille,03:02,https://open.spotify.com/track/5C2mUkFTs51bizl4LAaqRy
Daily Mix 4,Young Right Now,Robin Schulz;Dennis Lloyd,03:06,https://open.spotify.com/track/0JpEMzTHbt2zBIXrntrXzG
Daily Mix 4,In The Dark,Purple Disco Machine;Sophie and the Giants,03:05,https://open.spotify.com/track/75UUG6x5zQe0gCVOiQpa6X
Daily Mix 4,Lipstick,Kungs,03:00,https://open.spotify.com/track/01XT67XI0UAOeeKWnLe9Jn
Daily Mix 4,Remember (and David Guetta),Becky Hill;David Guetta,02:41,https://open.spotify.com/track/6feiJqgHqeSvkGUzf11AYs
Daily Mix 4,Someday,OneRepublic,03:07,https://open.spotify.com/track/6aDsgHPZsMztSbZernzlF8
