playlist,name,artists,duration,link
Daily Mix 6,Amsterdam,Cristian D;$hirak;Brysa;Ashafar,02:53,https://open.spotify.com/track/1YR7VB3xx85Iad2n3soyMb
Daily Mix 6,In M'n Bloed,Snelle,02:42,https://open.spotify.com/track/3hzxm5yFiOKeZ5f24Q9hsq
Daily Mix 6,Vluchtstrook,Kris Kross Amsterdam;Antoon;Sigourney K,02:28,https://open.spotify.com/track/63JrADDfrcjOaI6lyVkN3c
Daily Mix 6,Hallo,Antoon,02:12,https://open.spotify.com/track/7GwNDFyxvpHAd4l1IfUDmr
Daily Mix 6,Honderd Keer,Suzan & Freek,03:16,https://open.spotify.com/track/35i2wSWfDTxxBMUCNnmosW
Daily Mix 6,Okee Shordy,Trobi;Ronnie Flex;Chivv;ADF Samski,02:30,https://open.spotify.com/track/47AUY6Kl6iiuSzZbOgwGF9
Daily Mix 6,Als Jij Maar Bij Me Bent,MEAU,02:40,https://open.spotify.com/track/3x599jtfaReHmd6Ba77PD0
Daily Mix 6,Leven,Maan,02:14,https://open.spotify.com/track/2Mv9R8FDkPCjAghezGUgJC
Daily Mix 6,Je Blik Richting Mij,Bankzitters,02:25,https://open.spotify.com/track/3mafhqH8nGsvyZTN86IEOc
Daily Mix 6,Pizza Met Ananas,Snelle,02:42,https://open.spotify.com/track/5MCYr1sRABY6kNKdRK4ey7
Daily Mix 6,Hotelschool,Antoon,02:21,https://open.spotify.com/track/1R46BVgLnBXkVYAl31rKIF
Daily Mix 6,Zij Wil Mij,FLEMMING,02:36,https://open.spotify.com/track/3Falq0rEoroeaZqNp9UDIY
Daily Mix 6,1234,Cristian D;Bilal Wahib;LA$$A,02:34,https://open.spotify.com/track/4abfmTMCQDA1VPamAm3c3j
Daily Mix 6,De Diepte,S10,02:56,https://open.spotify.com/track/7uQ7e7nzbtyX87eIYHpj6Z
Daily Mix 6,Over,Lil Kleine;Boef,02:22,https://open.spotify.com/track/2z87XlLINvV8a2Xnb8mQ2v
Daily Mix 6,Bieber Van De Kroeg,Donnie;Mart Hoogkamer,03:06,https://open.spotify.com/track/5V2cXsvFE3VIQp5mYAi3Mn
