playlist,name,artists,duration,link
Pop Rising,That's Hilarious,Charlie Puth,02:26,https://open.spotify.com/track/1jIMjbzcGCcCQn5iMu9CUc
Pop Rising,As It Was,Harry Styles,02:47,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Pop Rising,First Class,Jack Harlow,02:53,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc
Pop Rising,About Damn Time,Lizzo,03:11,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
Pop Rising,psychofreak (feat. WILLOW),Camila Cabello;WILLOW,03:21,https://open.spotify.com/track/705dwKmZCd7ImAUyyD6Mpm
Pop Rising,Memories,Conan Gray,04:08,https://open.spotify.com/track/7AYP21Q4qnxw2WxETEvSRb
Pop Rising,Flowers,Lauren Spencer-Smith,02:37,https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc
Pop Rising,All 4 Nothing (I'm So In Love),Lauv,03:02,https://open.spotify.com/track/21AziTMaZwcLflGMAj85o5
Pop Rising,When You're Gone,Shawn Mendes,02:52,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6
Pop Rising,Heaven Takes You Home (feat. Connie Constance),Swedish House Mafia;Connie Constance,03:34,https://open.spotify.com/track/3nEHrvNNtgLv9rneTAYVr4
Pop Rising,You Were Loved (with OneRepublic),Gryffin;OneRepublic,03:41,https://open.spotify.com/track/4W1JavoraGzh83nluQHY6C
Pop Rising,Let Me Down Easy (Lie),Why Don't We,02:31,https://open.spotify.com/track/4w9qnwPPJRWPOw6DHhNtIc
Pop Rising,Speakers,Alec Benjamin,02:39,https://open.spotify.com/track/1620rCO9xoE7kug77sS4AJ
Pop Rising,chaotic,Tate McRae,02:58,https://open.spotify.com/track/2bdqU7C4softKNcMYDFi96
Pop Rising,Big Energy (feat. DJ Khaled) - Remix,Latto;Mariah Carey;DJ Khaled,03:01,https://open.spotify.com/track/4nmD4awtUUCC4AGETpUiuP
Pop Rising,10 Things I Hate About You,Leah Kate,02:37,https://open.spotify.com/track/1shKa7wLElW8CrbHOJk85M
Pop Rising,Take My Hand,5 Seconds of Summer,03:59,https://open.spotify.com/track/5e73JXit90gFD8EU1jqC6n
Pop Rising,Bam Bam (feat. Ed Sheeran),Camila Cabello;Ed Sheeran,03:26,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1
Pop Rising,Finesse,Pheelz;BNXN fka Buju,02:31,https://open.spotify.com/track/3UqcIgObI7zZk8e7nvqmfc
Pop Rising,Crazy What Love Can Do,David Guetta;Becky Hill;Ella Henderson,02:49,https://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq
Pop Rising,she's all i wanna be,Tate McRae,03:26,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
Pop Rising,Sunroof,Nicky Youre;dazy,02:43,https://open.spotify.com/track/3RfTeIrWS8LNrfHYwechtt
Pop Rising,iPad,The Chainsmokers,03:22,https://open.spotify.com/track/40mxAPW0mpgZ4EGPWiFxt9
Pop Rising,up at night (feat. justin bieber),Kehlani;Justin Bieber,03:02,https://open.spotify.com/track/4WghJOMjDpGdlk3b8aJIgy
Pop Rising,neverletyougo,ROLE MODEL,02:58,https://open.spotify.com/track/6ps0RcnIrPoiMd9vfcA9KB
Pop Rising,Angel Baby,Troye Sivan,03:40,https://open.spotify.com/track/2m6Ko3CY1qXNNja8AlugNc
Pop Rising,Last Call,Khalid,03:11,https://open.spotify.com/track/7k0wVBW3cvV6Xmb87JikIf
Pop Rising,Treat Me,Chlöe,02:29,https://open.spotify.com/track/2ZCu2xskiEBCV3y0eu0zJG
Pop Rising,That's Where I Am,Maggie Rogers,04:12,https://open.spotify.com/track/4f1KkbXHnfIVZ9vmIExByJ
Pop Rising,Tom's Diner,AnnenMayKantereit;Giant Rooks,04:29,https://open.spotify.com/track/0oA9wBGDY4uyILLg4GymWP
Pop Rising,Block me out,Gracie Abrams,04:09,https://open.spotify.com/track/7AX1eCw6qcX54PrDylynJr
Pop Rising,hate to be lame (feat. FINNEAS),Lizzy McAlpine;FINNEAS,02:36,https://open.spotify.com/track/3QEX5O23KVp1yg1tj6Hycp
Pop Rising,I Can't Help But Feel,Surfaces,02:58,https://open.spotify.com/track/40gooTta3y4FgzXaMOGDJL
Pop Rising,In My Head (feat. Travis Barker),24kGoldn;Travis Barker,02:10,https://open.spotify.com/track/3I3O8aazwBKkXN6RNjY06L
Pop Rising,In My Head,Lil Tjay,02:15,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb
Pop Rising,Where Did You Go?,Jax Jones;MNEK,02:57,https://open.spotify.com/track/26KOUSe9W0ZsTxMgNfbmq1
Pop Rising,Birthday Cake,Dylan Conrique,03:25,https://open.spotify.com/track/7dDrR6vMK1JAwZZ5MIWgme
Pop Rising,I Burned LA Down,Noah Cyrus,03:15,https://open.spotify.com/track/34Mg7rSCT7nRsf1kVCAvgz
Pop Rising,make up sex (feat. blackbear),Machine Gun Kelly;blackbear,02:02,https://open.spotify.com/track/50eJOxJiGmJ7PBZaTKpje1
Pop Rising,Bones,Imagine Dragons,02:45,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
Pop Rising,Where We Started,Thomas Rhett;Katy Perry,03:02,https://open.spotify.com/track/2yBWKK84uebv35lGajIMhc
Pop Rising,COMPLETE MESS,5 Seconds of Summer,03:26,https://open.spotify.com/track/1Y8COP6Oqef3UxIONvzx6I
Pop Rising,House On Fire,Mimi Webb,02:20,https://open.spotify.com/track/2iHsdUnmKGIuc9oRE3DfgJ
Pop Rising,"How Long - From""Euphoria"" An HBO Original Series",Tove Lo,03:19,https://open.spotify.com/track/05eZlxyjbkHMPCnunUasCS
Pop Rising,Night Away (Dance) (feat. Tion Wayne),A1 x J1;Tion Wayne,02:55,https://open.spotify.com/track/7z5G2LOdV8okZn4yWg3q5g
Pop Rising,Pray,Jessie Murph,02:26,https://open.spotify.com/track/2gbRKKSyW7e7vAkyvrJkte
Pop Rising,IDGAF (with blackbear),BoyWithUke;blackbear,02:20,https://open.spotify.com/track/6Jrdb6CFOJEGaHjaa6c4WR
Pop Rising,Light Switch,Charlie Puth,03:05,https://open.spotify.com/track/1BSMpVGWs3v5BZKnAQziAc
Pop Rising,West Coast,OneRepublic,03:12,https://open.spotify.com/track/0sBJA2OCEECMs0HsdIQhvR
Pop Rising,What Would You Do?,Joel Corry;David Guetta;Bryson Tiller,02:54,https://open.spotify.com/track/1D2ZNECRd7KIlA4pyOUGsv
Pop Rising,Used To Know Me,Charli XCX,02:25,https://open.spotify.com/track/5dry5tz8yLcLuOJ3l6ZEQd
Pop Rising,Anyone For You (Tiger Lily),George Ezra,03:07,https://open.spotify.com/track/5iFQfP3AqVnHHS89LKQisL
