name,artists,duration,link,playlist
First Class,Jack Harlow,02:53,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc,Today's Top Hits
As It Was,Harry Styles,02:47,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,Today's Top Hits
Ghost,Justin Bieber,02:33,https://open.spotify.com/track/5dPz35akJjPqb17yeqNwqH,Today's Top Hits
Bam Bam (feat. Ed Sheeran),Camila Cabello;Ed Sheeran,03:26,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1,Today's Top Hits
THATS WHAT I WANT,Lil Nas X,02:23,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO,Today's Top Hits
Heat Waves,Glass Animals,03:58,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,Today's Top Hits
When You're Gone,Shawn Mendes,02:52,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6,Today's Top Hits
Boyfriend,Dove Cameron,02:33,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj,Today's Top Hits
Woman,Doja Cat,02:52,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4,Today's Top Hits
STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,02:21,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20,Today's Top Hits
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons;JID;Arcane;League of Legends,02:53,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,Today's Top Hits
Shivers,Ed Sheeran,03:27,https://open.spotify.com/track/6bQfNiqyCX7UaQSvVVGo4I,Today's Top Hits
Where Are You Now,Lost Frequencies;Calum Scott,02:28,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z,Today's Top Hits
Envolver,Anitta,03:13,https://open.spotify.com/track/3IAfUEeaXRX9s9UdKOJrFI,Today's Top Hits
Cold Heart - PNAU Remix,Elton John;Dua Lipa;PNAU,03:22,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,Today's Top Hits
MIDDLE OF THE NIGHT,Elley Duhé,03:04,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,Today's Top Hits
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X;Jack Harlow,03:32,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK,Today's Top Hits
Light Switch,Charlie Puth,03:05,https://open.spotify.com/track/1BSMpVGWs3v5BZKnAQziAc,Today's Top Hits
In My Head,Lil Tjay,02:15,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb,Today's Top Hits
The Motto,Tiësto;Ava Max,02:44,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO,Today's Top Hits
abcdefu,GAYLE,02:48,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,Today's Top Hits
she's all i wanna be,Tate McRae,03:26,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW,Today's Top Hits
psychofreak (feat. WILLOW),Camila Cabello;WILLOW,03:21,https://open.spotify.com/track/705dwKmZCd7ImAUyyD6Mpm,Today's Top Hits
Sweetest Pie,Megan Thee Stallion;Dua Lipa,03:21,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh,Today's Top Hits
love nwantiti (ah ah ah),CKay,02:25,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g,Today's Top Hits
Plan A,Paulo Londra,02:58,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB,Today's Top Hits
Infinity,Jaymes Young,03:57,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK,Today's Top Hits
Easy On Me,Adele,03:44,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,Today's Top Hits
Bad Habits,Ed Sheeran,03:51,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,Today's Top Hits
My Universe,Coldplay;BTS,03:48,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM,Today's Top Hits
Bones,Imagine Dragons,02:45,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G,Today's Top Hits
Need to Know,Doja Cat,03:30,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi,Today's Top Hits
Right On,Lil Baby,03:33,https://open.spotify.com/track/6ws54n2IzyrIxxyzlG2bVJ,Today's Top Hits
Happier Than Ever - Edit,Billie Eilish,02:31,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo,Today's Top Hits
One Right Now (with The Weeknd),Post Malone;The Weeknd,03:13,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj,Today's Top Hits
MAMIII,Becky G;KAROL G,03:46,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs,Today's Top Hits
good 4 u,Olivia Rodrigo,02:58,https://open.spotify.com/track/6PERP62TejQjgHu81OHxgM,Today's Top Hits
Nail Tech,Jack Harlow,03:26,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz,Today's Top Hits
Better Days (NEIKED x Mae Muller x Polo G),NEIKED;Mae Muller;Polo G,02:40,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH,Today's Top Hits
Pepas,Farruko,04:47,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k,Today's Top Hits
Oh My God,Adele,03:45,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX,Today's Top Hits
