playlist,name,artists,duration,link
Daily Mix 3,Bohemian Rhapsody - Remastered 2011,Queen,05:54,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
Daily Mix 3,Oceaan,Racoon,02:44,https://open.spotify.com/track/7GWU6dQFjYF5YpsAUwZfGq
Daily Mix 3,The River,Bruce Springsteen,05:01,https://open.spotify.com/track/7HrzErXq3TsKOY1gmdIShB
Daily Mix 3,Als Jij Maar Bij Me Bent,MEAU,02:40,https://open.spotify.com/track/3x599jtfaReHmd6Ba77PD0
Daily Mix 3,Honderd Keer,Suzan & Freek,03:16,https://open.spotify.com/track/35i2wSWfDTxxBMUCNnmosW
Daily Mix 3,Love Myself,RONDÉ,02:59,https://open.spotify.com/track/0iBWf9gz65kHxuQkZkrNUc
Daily Mix 3,Zij Wil Mij,FLEMMING,02:36,https://open.spotify.com/track/3Falq0rEoroeaZqNp9UDIY
Daily Mix 3,Mijn Kleine Presidentje,Jaap Reesema,03:22,https://open.spotify.com/track/5Vrrxddu2CDh1wfysRPZJZ
Daily Mix 3,Missen Zou,Thomas Acda;Rolf Sanchez;Kraantje Pappie,02:47,https://open.spotify.com/track/2rdAPax7p9QRghy0wKiw6d
Daily Mix 3,Pizza Met Ananas,Snelle,02:42,https://open.spotify.com/track/5MCYr1sRABY6kNKdRK4ey7
Daily Mix 3,Dat heb jij gedaan,MEAU,03:31,https://open.spotify.com/track/6lgIi3ixBsr4cMt3r19yX9
Daily Mix 3,Cold Heart - PNAU Remix,Elton John;Dua Lipa;PNAU,03:22,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
Daily Mix 3,Love Of My Life - Remastered 2011,Queen,03:37,https://open.spotify.com/track/4YJUTdZ0Pgl0ZeNyHYXeLd
Daily Mix 3,Brothers In Arms,Dire Straits,06:59,https://open.spotify.com/track/60bF2b61f7Q5Bt82QCBwvc
Daily Mix 3,Onderweg Naar Later,Suzan & Freek,02:57,https://open.spotify.com/track/5rES9eqpHTAlv7jVY1SUQn
Daily Mix 3,Door De Wind,Miss Montreal;Beste Zangers,02:50,https://open.spotify.com/track/3h7NZT1CATbn4GqUs51vwf
Daily Mix 3,Piano Man,Billy Joel,05:36,https://open.spotify.com/track/3FCto7hnn1shUyZL42YgfO
Daily Mix 3,Hotel California - 2013 Remaster,Eagles,06:31,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
Daily Mix 3,Africa,TOTO,04:55,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
Daily Mix 3,Ouder,MEAU,03:13,https://open.spotify.com/track/5Wz9FQ2UQQFcMvZwjnJq9e
Daily Mix 3,Sultans Of Swing,Dire Straits,05:48,https://open.spotify.com/track/37Tmv4NnfQeb0ZgUC4fOJj
Daily Mix 3,Heroes - 2017 Remaster,David Bowie,06:11,https://open.spotify.com/track/7Jh1bpe76CNTCgdgAdBw4Z
Daily Mix 3,Stairway to Heaven - Remaster,Led Zeppelin,08:02,https://open.spotify.com/track/5CQ30WqJwcep0pYcV4AMNc
Daily Mix 3,Soldier On,DI-RECT,03:27,https://open.spotify.com/track/5U9iJk3ONTlZCSJrokOP1i
Daily Mix 3,Dromen In Kleur,Suzan & Freek,03:21,https://open.spotify.com/track/2KqRs4eFBBo4xkZWbZhGPc
Daily Mix 3,The Sound of Silence,Simon & Garfunkel,03:04,https://open.spotify.com/track/3YfS47QufnLDFA71FUsgCM
Daily Mix 3,Crocodile Rock,Elton John,03:55,https://open.spotify.com/track/6WCeFNVAXUtNczb7lqLiZU
Daily Mix 3,Roller Coaster,Danny Vera,04:29,https://open.spotify.com/track/5B5YKjgne3TZzNpMsN9aj1
Daily Mix 3,November Rain,Guns N' Roses,08:56,https://open.spotify.com/track/3YRCqOhFifThpSRFJ1VWFM
Daily Mix 3,Altijd Wel Iemand - Better Than Ever / Aflevering 1 / Live,Ehsan,02:06,https://open.spotify.com/track/4aEcvUYPlstyn9KvA5G59N
Daily Mix 3,Wish You Were Here - 2011 Remaster,Pink Floyd,05:04,https://open.spotify.com/track/7aE5WXu5sFeNRh3Z05wwu4
Daily Mix 3,Avond,Boudewijn de Groot,04:34,https://open.spotify.com/track/3n3F07lHLyRKwqg4q64eYA
Daily Mix 3,Radar Love,Golden Earring,06:26,https://open.spotify.com/track/5tU9JM1v72X7oM808Am6Fq
Daily Mix 3,A Whiter Shade of Pale - Original Single Version,Procol Harum,04:08,https://open.spotify.com/track/78ZqE2tjAxbqEGGlvGnQfT
Daily Mix 3,Goud,Suzan & Freek,03:22,https://open.spotify.com/track/5SaapweQAEx7X1R47ItZ75
Daily Mix 3,Paradise City,Guns N' Roses,06:45,https://open.spotify.com/track/6eN1f9KNmiWEhpE2RhQqB5
Daily Mix 3,Stap Maar In Bij Mij,Paul de Munnik;MEAU,02:36,https://open.spotify.com/track/2maXKeQyysFAKH9sPaiLMX
Daily Mix 3,Comfortably Numb - 2011 Remastered Version,Pink Floyd,06:19,https://open.spotify.com/track/7Fg4jpwpkdkGCvq1rrXnvx
Daily Mix 3,Afgesloten,MEAU,03:04,https://open.spotify.com/track/0C2GwAV0SlE1r8dkyYYpXl
Daily Mix 3,Amsterdam,FLEMMING,02:52,https://open.spotify.com/track/0GRc10CjRqO0wtXUnxR1uY
Daily Mix 3,Laat Mij Een Vlinder Zijn,Emma Kok,03:10,https://open.spotify.com/track/6HuzZ8Igm2XH0xjygHyS0u
Daily Mix 3,De Overkant,Suzan & Freek;Snelle,02:47,https://open.spotify.com/track/6qoh8fAoY7eVMIIKPKNSWX
Daily Mix 3,Voila,The voice of Holland;Pascale Julia Kuiper,02:04,https://open.spotify.com/track/24dFC8OOirtDAqjTcGGSju
Daily Mix 3,Story Of My Life,Tim Dawn,03:18,https://open.spotify.com/track/6oJDJEZtiVvIslD5NdRQyx
Daily Mix 3,Alles,Senna,02:46,https://open.spotify.com/track/6ODmgmowRBJ1ZkjRr0cvGW
Daily Mix 3,Brain Damage - 2011 Remastered Version,Pink Floyd,03:45,https://open.spotify.com/track/7EUEl5wJb8VI777UAUvRnH
Daily Mix 3,Kalmte,MEAU,03:09,https://open.spotify.com/track/07QCLh42ds9jBpmxLYoSjB
Daily Mix 3,Tijd Verliezen,Racoon,03:56,https://open.spotify.com/track/6tcCTgpI1JWsgReB9ttSUD
Daily Mix 3,Lampedusa,Suzan & Freek;Diggy Dex,03:38,https://open.spotify.com/track/6inAiQLdh6IVzBBrAGaO1I
Daily Mix 3,Waar Dan Ook,Miss Montreal,03:08,https://open.spotify.com/track/3VpHlezGLW8KDbpHtg7zuh
