playlist,name,artists,duration,link
Daily Mix 4,good 4 u,Olivia Rodrigo,02:58,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
Daily Mix 4,Black,Pearl Jam,05:42,https://open.spotify.com/track/5Xak5fmy089t0FYmh3VJiY
Daily Mix 4,As It Was,Harry Styles,02:47,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Daily Mix 4,THATS WHAT I WANT,Lil Nas X,02:23,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
Daily Mix 4,Bam Bam (feat. Ed Sheeran),Camila Cabello;Ed Sheeran,03:26,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1
Daily Mix 4,Woman,Doja Cat,02:52,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
Daily Mix 4,My Universe,Coldplay;BTS,03:46,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
Daily Mix 4,Sweetest Pie,Megan Thee Stallion;Dua Lipa,03:21,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
Daily Mix 4,Ghost,Justin Bieber,02:33,https://open.spotify.com/track/5dPz35akJjPqb17yeqNwqH
Daily Mix 4,Wildest Dreams (Taylor's Version),Taylor Swift,03:40,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
Daily Mix 4,Attention,Omah Lay;Justin Bieber,03:00,https://open.spotify.com/track/6tTeRmhhuwDl5Y4UiJdHuO
Daily Mix 4,psychofreak (feat. WILLOW),Camila Cabello;WILLOW,03:21,https://open.spotify.com/track/705dwKmZCd7ImAUyyD6Mpm
Daily Mix 4,Need to Know,Doja Cat,03:30,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
Daily Mix 4,First Class,Jack Harlow,02:53,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc
Daily Mix 4,Freaky Deaky,Tyga;Doja Cat,03:35,https://open.spotify.com/track/3vySEUpD0tc801F2WZDLYw
Daily Mix 4,up at night (feat. justin bieber),Kehlani;Justin Bieber,03:02,https://open.spotify.com/track/4WghJOMjDpGdlk3b8aJIgy
Daily Mix 4,Last Call,Khalid,03:11,https://open.spotify.com/track/7k0wVBW3cvV6Xmb87JikIf
Daily Mix 4,Shivers,Ed Sheeran,03:27,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
Daily Mix 4,I’m Tired (with Zendaya) - Bonus Track,Labrinth;Zendaya,03:07,https://open.spotify.com/track/6LtHYDgYHRCHoKK3snfr2w
Daily Mix 4,You Right,Doja Cat;The Weeknd,03:06,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
Daily Mix 4,"How Long - From""Euphoria"" An HBO Original Series",Tove Lo,03:19,https://open.spotify.com/track/05eZlxyjbkHMPCnunUasCS
