playlist,name,artists,duration,link
Daily Mix 6,Amsterdam,Cristian D;$hirak;Brysa;Ashafar,02:53,https://open.spotify.com/track/1YR7VB3xx85Iad2n3soyMb
Daily Mix 6,Hallo,Antoon,02:12,https://open.spotify.com/track/7GwNDFyxvpHAd4l1IfUDmr
Daily Mix 6,In M'n Bloed,Snelle,02:42,https://open.spotify.com/track/3hzxm5yFiOKeZ5f24Q9hsq
Daily Mix 6,Als Jij Maar Bij Me Bent,MEAU,02:40,https://open.spotify.com/track/3x599jtfaReHmd6Ba77PD0
Daily Mix 6,Vluchtstrook,Kris Kross Amsterdam;Antoon;Sigourney K,02:28,https://open.spotify.com/track/63JrADDfrcjOaI6lyVkN3c
Daily Mix 6,Okee Shordy,Trobi;Ronnie Flex;Chivv;ADF Samski,02:30,https://open.spotify.com/track/47AUY6Kl6iiuSzZbOgwGF9
Daily Mix 6,Leven,Maan,02:14,https://open.spotify.com/track/2Mv9R8FDkPCjAghezGUgJC
Daily Mix 6,Love Myself,RONDÉ,02:59,https://open.spotify.com/track/0iBWf9gz65kHxuQkZkrNUc
Daily Mix 6,Hotelschool,Antoon,02:21,https://open.spotify.com/track/1R46BVgLnBXkVYAl31rKIF
Daily Mix 6,Pizza Met Ananas,Snelle,02:42,https://open.spotify.com/track/5MCYr1sRABY6kNKdRK4ey7
Daily Mix 6,Dat heb jij gedaan,MEAU,03:31,https://open.spotify.com/track/6lgIi3ixBsr4cMt3r19yX9
Daily Mix 6,Zij Wil Mij,FLEMMING,02:36,https://open.spotify.com/track/3Falq0rEoroeaZqNp9UDIY
Daily Mix 6,De Diepte,S10,02:56,https://open.spotify.com/track/7uQ7e7nzbtyX87eIYHpj6Z
Daily Mix 6,1234,Cristian D;Bilal Wahib;LA$$A,02:34,https://open.spotify.com/track/4abfmTMCQDA1VPamAm3c3j
Daily Mix 6,Einstein,Trobi;LouiVos;Mula B,02:39,https://open.spotify.com/track/0c6xCo2iquW4EsEOlEVaae
Daily Mix 6,Vanavond (Uit M'n Bol),Kris Kross Amsterdam;Donnie;Tino Martin,02:46,https://open.spotify.com/track/0gq4UgDPGFdqpsWshU7dmv
Daily Mix 6,Bieber Van De Kroeg,Donnie;Mart Hoogkamer,03:06,https://open.spotify.com/track/5V2cXsvFE3VIQp5mYAi3Mn
Daily Mix 6,Challas Op De Bassline,Sjaak,02:00,https://open.spotify.com/track/1JwRxt8AespdBPpAAXmtxC
Daily Mix 6,Sex,Cheat Codes;Kris Kross Amsterdam,03:48,https://open.spotify.com/track/1MyWtH2yavuP1AHUi1X7ur
Daily Mix 6,Tantoe Lekker,Antoon;Big2,02:24,https://open.spotify.com/track/44qWZU2uA8T5JHGPvk1lUs
Daily Mix 6,Niks Mee Te Maken,Snelle,02:52,https://open.spotify.com/track/3wumtijPLTctdCnXASPH0C
Daily Mix 6,Donkere Dagen,Trobi;Lijpe;Emms,03:34,https://open.spotify.com/track/4kEbVZsunb1dbuw9q4cf78
Daily Mix 6,COKE IN DE UITVERKOOP,Mula B;Trobi,02:35,https://open.spotify.com/track/2H1Hw1WHpoaliGdCACb6Eh
Daily Mix 6,Early In The Morning,Kris Kross Amsterdam;Shaggy;Conor Maynard,02:52,https://open.spotify.com/track/2R9nfayl1NXhuAdEpwG2Qa
Daily Mix 6,Wishlist,Ashafar;Ronnie Flex;Trobi,02:43,https://open.spotify.com/track/7GCvBgDjYWtOIo2Yg2GfKs
Daily Mix 6,Stap Maar In Bij Mij,Paul de Munnik;MEAU,02:36,https://open.spotify.com/track/2maXKeQyysFAKH9sPaiLMX
Daily Mix 6,Leuk,Antoon;Big2,02:27,https://open.spotify.com/track/2z43Tcnc82QqrOCHv5GG9J
Daily Mix 6,Misfit,Snelle,02:53,https://open.spotify.com/track/3OmBInNsWivzvTmFkVAtWK
Daily Mix 6,Silent Disco,Trobi;Mula B;Qlas & Blacka,02:55,https://open.spotify.com/track/0yHJwojWHe5j7XBZdIZFmY
Daily Mix 6,Zoveel Takkies,Josylvio,02:56,https://open.spotify.com/track/3iabh1D7hKB9a81EfvxBat
