,day,time,user,hub name,playlist name,playlist id,description,image url,length,type,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,2022-04-14,10:00:00,female user,Featured Charts,Top Songs Global,,,,,playlist,,,,,,,,,
1,2022-04-14,10:00:00,female user,Featured Charts,Top Songs Nederland,,,,,playlist,,,,,,,,,
2,2022-04-14,10:00:00,female user,Featured Charts,Top 50 Global,,,,,playlist,,,,,,,,,
3,2022-04-14,10:00:00,female user,Featured Charts,Top 50 Netherlands,,,,,playlist,,,,,,,,,
4,2022-04-14,10:00:00,female user,Featured Charts,Viral 50 Global,,,,,playlist,,,,,,,,,
5,2022-04-14,10:00:00,female user,Featured Charts,Viral 50 Netherlands,,,,,playlist,,,,,,,,,
6,2022-04-14,10:00:00,female user,Throwback,Reggaeton Classics,,,,,playlist,,,,,,,,,
7,2022-04-14,10:00:00,female user,Throwback,I Love My '90s Hip-Hop,,,,,playlist,,,,,,,,,
8,2022-04-14,10:00:00,female user,Throwback,Rock Classics,,,,,playlist,,,,,,,,,
9,2022-04-14,10:00:00,female user,Throwback,All Out 2000s,,,,,playlist,,,,,,,,,
10,2022-04-14,10:00:00,female user,Throwback,Salsa Classics,,,,,playlist,,,,,,,,,
11,2022-04-14,10:00:00,female user,Throwback,I Love My 2000s R&B,,,,,playlist,,,,,,,,,
12,2022-04-14,10:00:00,female user,Throwback,Throwback Party,,,,,playlist,,,,,,,,,
13,2022-04-14,10:00:00,female user,Throwback,10s Latino,,,,,playlist,,,,,,,,,
14,2022-04-14,10:00:00,female user,Throwback,Leyendas Urbanas,,,,,playlist,,,,,,,,,
15,2022-04-14,10:00:00,female user,Throwback,Jazz Classics,,,,,playlist,,,,,,,,,
16,2022-04-14,10:00:00,female user,Chill,Chill Hits,,,,,playlist,,,,,,,,,
17,2022-04-14,10:00:00,female user,Chill,t Koffiehuis,,,,,playlist,,,,,,,,,
18,2022-04-14,10:00:00,female user,Chill,Peaceful Piano,,,,,playlist,,,,,,,,,
19,2022-04-14,10:00:00,female user,Chill,lofi beats,,,,,playlist,,,,,,,,,
20,2022-04-14,10:00:00,female user,Chill,Easy 80s,,,,,playlist,,,,,,,,,
21,2022-04-14,10:00:00,female user,Chill,Vibes,,,,,playlist,,,,,,,,,
22,2022-04-14,10:00:00,female user,Chill,Deep House Rules,,,,,playlist,,,,,,,,,
23,2022-04-14,10:00:00,female user,Chill,Peaceful Meditation,,,,,playlist,,,,,,,,,
24,2022-04-14,10:00:00,female user,Chill,Jazz Vibes,,,,,playlist,,,,,,,,,
