;day;time;hub name;playlist name;type;playlist count;hub count
0;14-04-2022;10:00:00;featured charts;top songs global;playlist;60;165
1;14-04-2022;10:00:00;featured charts;top songs nederland;playlist;32;165
2;14-04-2022;10:00:00;featured charts;top 50 global;playlist;58;165
3;14-04-2022;10:00:00;featured charts;top 50 netherlands;playlist;41;165
4;14-04-2022;10:00:00;featured charts;viral 50 global;playlist;33;165
5;14-04-2022;10:00:00;featured charts;viral 50 netherlands;playlist;33;165
6;14-04-2022;10:00:00;throwback;reggaeton classics;playlist;1;318
7;14-04-2022;10:00:00;throwback;i love my 90s hiphop;playlist;1;318
8;14-04-2022;10:00:00;throwback;rock classics;playlist;42;318
9;14-04-2022;10:00:00;throwback;all out 2000s;playlist;33;318
10;14-04-2022;10:00:00;throwback;salsa classics;playlist;1;318
11;14-04-2022;10:00:00;throwback;i love my 2000s rb;playlist;13;318
12;14-04-2022;10:00:00;throwback;throwback party;playlist;36;318
13;14-04-2022;10:00:00;throwback;10s latino;playlist;1;318
14;14-04-2022;10:00:00;throwback;leyendas urbanas;playlist;1;318
15;14-04-2022;10:00:00;throwback;jazz classics;playlist;1;318
16;14-04-2022;10:00:00;chill;chill hits;playlist;37;318
17;14-04-2022;10:00:00;chill;t koffiehuis;playlist;45;318
18;14-04-2022;10:00:00;chill;peaceful piano;playlist;65;318
19;14-04-2022;10:00:00;chill;lofi beats;playlist;72;318
20;14-04-2022;10:00:00;chill;easy 80s;playlist;45;318
21;14-04-2022;10:00:00;chill;vibes;playlist;48;318
22;14-04-2022;10:00:00;chill;deep house rules;playlist;1;318
23;14-04-2022;10:00:00;chill;peaceful meditation;playlist;27;318
24;14-04-2022;10:00:00;chill;jazz vibes;playlist;17;318
25;14-04-2022;10:00:00;chill;soft pop hits;playlist;34;318
26;14-04-2022;10:00:00;singalong;happy tunes;playlist;34;319
27;14-04-2022;10:00:00;singalong;singing in the shower;playlist;3;319
28;14-04-2022;10:00:00;singalong;guilty pleasures;playlist;33;319
29;14-04-2022;10:00:00;singalong;latin pop classics;playlist;5;319
30;14-04-2022;10:00:00;singalong;dj vu;playlist;33;319
31;14-04-2022;10:00:00;singalong;karaoke duets;playlist;33;319
32;14-04-2022;10:00:00;singalong;kclub party;playlist;32;319
33;14-04-2022;10:00:00;singalong;sing along kpop;playlist;14;319
34;14-04-2022;10:00:00;singalong;singalong 90s to now;playlist;33;319
35;14-04-2022;10:00:00;singalong;karaoke en espanol;playlist;1;319
36;14-04-2022;10:00:00;workout;power workout;playlist;30;322
37;14-04-2022;10:00:00;workout;top hits workout;playlist;32;322
38;14-04-2022;10:00:00;workout;beast mode;playlist;32;322
39;14-04-2022;10:00:00;workout;latin cardio;playlist;1;322
40;14-04-2022;10:00:00;workout;fun run;playlist;32;322
41;14-04-2022;10:00:00;workout;zumba beats;playlist;1;322
42;14-04-2022;10:00:00;workout;motivation mix;playlist;32;322
43;14-04-2022;10:00:00;workout;workout;playlist;32;322
44;14-04-2022;10:00:00;workout;workout hiphop;playlist;1;322
45;14-04-2022;10:00:00;workout;power hour;playlist;33;322
46;14-04-2022;10:00:00;todays biggest hits;fuego;playlist;1;291
47;14-04-2022;10:00:00;todays biggest hits;baila reggaeton;playlist;34;291
48;14-04-2022;10:00:00;todays biggest hits;viva latino;playlist;1;291
49;14-04-2022;10:00:00;todays biggest hits;latin flavor;playlist;1;291
50;14-04-2022;10:00:00;todays biggest hits;todays top hits;playlist;43;291
51;14-04-2022;10:00:00;todays biggest hits;summer 22;playlist;49;291
52;14-04-2022;10:00:00;todays biggest hits;rap caviar;playlist;2;291
53;14-04-2022;10:00:00;todays biggest hits;its lit;playlist;5;291
54;14-04-2022;10:00:00;todays biggest hits;techno bunker;playlist;41;291
55;14-04-2022;10:00:00;recommended for today;red taylors version;album;1;10
56;14-04-2022;10:00:00;recommended for today;when youre gone;single;28;10
57;14-04-2022;10:00:00;recommended for today;sour;album;1;10
58;14-04-2022;10:00:00;recommended for today;positons;album;1;10
59;14-04-2022;10:00:00;recommended for today;justice;album;1;10
60;14-04-2022;10:00:00;recommended for today;after hours deluxe;album;1;10
61;14-04-2022;10:00:00;recommended for today;happier than ever edit;single;9;10
62;14-04-2022;10:00:00;recommended for today;as it was;single;9;10
63;14-04-2022;10:00:00;recommended for today;smile;album;1;10
64;14-04-2022;10:00:00;recommended for today;bam bam feat ed sheeran;single;1;10
