,day,time,user,hub name,playlist name,playlist id,description,image url,length,type,Unnamed: 10
0,2022-04-14,10:00:00,male user,To get you started,Taylor Swift Mix,,"Bon Iver, Halsey, Selena Gomez and more…",,,playlist,
1,2022-04-14,10:00:00,male user,To get you started,Bad Bunny Mix,,"Arcangel, Ozuna, Farruko and more",,,playlist,
2,2022-04-14,10:00:00,male user,To get you started,BTS Mix,,"TWICE, ATEEZ Stray Kids and more",,,playlist,
3,2022-04-14,10:00:00,male user,Try something else,Hot Hits,,,,,playlist,
4,2022-04-14,10:00:00,male user,Try something else,Top 50 Netherlands,,,,,playlist,
5,2022-04-14,10:00:00,male user,Try something else,Top 2000,,Npo,,,playlist,
6,2022-04-14,10:00:00,male user,Try something else,Today’s Top Hits,,,,,playlist,
7,2022-04-14,10:00:00,male user,Try something else,Rock Classic,,,,,playlist,
8,2022-04-14,10:00:00,male user,Try something else,Beste van NL,,,,,playlist,
9,2022-04-14,10:00:00,male user,Try something else,Top Songs Global,,,,,playlist,
10,2022-04-14,10:00:00,male user,Try something else,’t Koffiehuis,,,,,playlist,
11,2022-04-14,10:00:00,male user,Try something else,Top 50 Global,,,,,playlist,
12,2022-04-14,10:00:00,male user,More like Taylor Swift,Halsey,,,,,artist,
13,2022-04-14,10:00:00,male user,More like Taylor Swift,Ellie Goulding,,,,,artist,
14,2022-04-14,10:00:00,male user,More like Taylor Swift,5 Seconds of Summer,,,,,artist,
15,2022-04-14,10:00:00,male user,More like Taylor Swift,Soft 10,,,,,playlist,
16,2022-04-14,10:00:00,male user,More like Taylor Swift,Positive Vibes,,,,,playlist,
17,2022-04-14,10:00:00,male user,More like Taylor Swift,Rare,,,,,album,Selena Gomez
18,2022-04-14,10:00:00,male user,More like Taylor Swift,Handwritten,,,,,album,Shawn Mendes
19,2022-04-14,10:00:00,male user,More like Taylor Swift,Icarus Falls,,,,,album,Zayn
20,2022-04-14,10:00:00,male user,More like Taylor Swift,Glory Days - EP,,,,,EP,Little Mix
21,2022-04-14,10:00:00,male user,More like Taylor Swift,I Have Quastions,,,,,album,Camila Cabello
22,2022-04-14,10:00:00,male user,More like Bad Bunny,Natti Natasha,,,,,artist,
23,2022-04-14,10:00:00,male user,More like Bad Bunny,DJ Luian,,,,,artist,
24,2022-04-14,10:00:00,male user,More like Bad Bunny,KHEA,,,,,artist,
25,2022-04-14,10:00:00,male user,More like Bad Bunny,Dalex,,,,,artist,
26,2022-04-14,10:00:00,male user,More like Bad Bunny,Oasis,,,,,album,"J Balvin, Bad Bunny"
27,2022-04-14,10:00:00,male user,More like Bad Bunny,Now or Never,,,,,album,"Nio Garcia, Casper Magico"
28,2022-04-14,10:00:00,male user,More like Bad Bunny,OCEAN,,,,,album,KAROL G
29,2022-04-14,10:00:00,male user,More like Bad Bunny,Latin Hit Mix,,,,,playlist,
30,2022-04-14,10:00:00,male user,More like Bad Bunny,Zumba Beats,,,,,playlist,
31,2022-04-14,10:00:00,male user,More Like BTS,Agust D,,,,,artist,
32,2022-04-14,10:00:00,male user,More Like BTS,iKON,,,,,artist,
33,2022-04-14,10:00:00,male user,More Like BTS,Jack Harlow,,,,,artist,
34,2022-04-14,10:00:00,male user,More Like BTS,Jackson Wang,,,,,artist,
35,2022-04-14,10:00:00,male user,More Like BTS,Crush,,,,,artist,
36,2022-04-14,10:00:00,male user,More Like BTS,K-Pop X-Overs,,,,,playlist,
37,2022-04-14,10:00:00,male user,More Like BTS,JTBC Super Band Epi…,,,,,EP,Various Artists
38,2022-04-14,10:00:00,male user,More Like BTS,OM,,,,,EP,PARK WON
39,2022-04-14,10:00:00,male user,More Like BTS,Dawn,,,,,EP,The Rose
40,2022-04-14,10:00:00,male user,More Like BTS,Girls Krush,,,,,playlist,
41,2022-04-14,10:00:00,male user,More Like BTS,Hallyu Boy Bands,,,,,playlist,
42,2022-04-14,10:00:00,male user,Throwback,Rock Classic,,,,,playlist,
43,2022-04-14,10:00:00,male user,Throwback,All Out 2000s,,,,,playlist,
44,2022-04-14,10:00:00,male user,Throwback,All Out 90s,,,,,playlist,
45,2022-04-14,10:00:00,male user,Throwback,All Out 80s,,,,,playlist,
46,2022-04-14,10:00:00,male user,Throwback,I Love My ’90s Hip-Hop,,,,,playlist,
47,2022-04-14,10:00:00,male user,Throwback,Jazz Classics,,,,,playlist,
48,2022-04-14,10:00:00,male user,Throwback,Easy 80s,,,,,playlist,
49,2022-04-14,10:00:00,male user,Throwback,Reggae Classics,,,,,playlist,
50,2022-04-14,10:00:00,male user,Throwback,Legendary,,,,,playlist,
51,2022-04-14,10:00:00,male user,Throwback,All Out 70s,,,,,playlist,
52,2022-04-14,10:00:00,male user,Featured Charts,Top Songs Global,,,,,playlist,
53,2022-04-14,10:00:00,male user,Featured Charts,Top Songs Netherlands,,,,,playlist,
