playlist,name,artists,duration,link
Daily Mix 2,The Motto,Tiësto;Ava Max,02:44,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
Daily Mix 2,Fingers Crossed,Lauren Spencer-Smith,02:55,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
Daily Mix 2,Heat Waves (with iann dior),Glass Animals;iann dior,02:55,https://open.spotify.com/track/7vZqwaSk4sVcDyZbMcxS8N
Daily Mix 2,she's all i wanna be,Tate McRae,03:26,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
Daily Mix 2,Oh My God,Adele,03:45,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
Daily Mix 2,redruM,Sorana;David Guetta,02:52,https://open.spotify.com/track/0pnG6sIThf9kp9ebTqn44L
Daily Mix 2,Sigue,J Balvin;Ed Sheeran,02:39,https://open.spotify.com/track/0bBd6K5X4W7t9GyXcaVOA7
Daily Mix 2,High,The Chainsmokers,02:55,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
Daily Mix 2,West Coast,OneRepublic,03:12,https://open.spotify.com/track/0sBJA2OCEECMs0HsdIQhvR
Daily Mix 2,Bam Bam (feat. Ed Sheeran),Camila Cabello;Ed Sheeran,03:26,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
Daily Mix 2,House On Fire,Mimi Webb,02:20,https://open.spotify.com/track/2iHsdUnmKGIuc9oRE3DfgJ
Daily Mix 2,When I’m Gone (with Katy Perry),Alesso;Katy Perry,02:41,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the
Daily Mix 2,Dancing Feet (feat. DNCE),Kygo;DNCE,03:35,https://open.spotify.com/track/4RAR8g8fZNB106ezUurnE0
Daily Mix 2,Shivers,Ed Sheeran,03:27,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
Daily Mix 2,Ghost,Justin Bieber,02:33,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
Daily Mix 2,Sunshine,OneRepublic,02:43,https://open.spotify.com/track/5r43qanLhUCdBj8HN3fa6B
Daily Mix 2,iPad,The Chainsmokers,03:22,https://open.spotify.com/track/40mxAPW0mpgZ4EGPWiFxt9
Daily Mix 2,Crazy What Love Can Do,David Guetta;Becky Hill;Ella Henderson,02:49,https://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq
Daily Mix 2,Everything But You (feat. A7S),Clean Bandit;A7S,03:18,https://open.spotify.com/track/2wVQcA1YCuGL6EW0QbgVoV
Daily Mix 2,Dance With Somebody,Conor Maynard,03:15,https://open.spotify.com/track/1CrofNrIpyEcoa4a6SWX4j
Daily Mix 2,Better Days (NEIKED x Mae Muller x Polo G),NEIKED;Mae Muller;Polo G,02:40,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
Daily Mix 2,Melody,Sigala,02:47,https://open.spotify.com/track/6Owc2SuzwO3LW1SAODYK3l
Daily Mix 2,You Were Loved (with OneRepublic),Gryffin;OneRepublic,03:41,https://open.spotify.com/track/4W1JavoraGzh83nluQHY6C
Daily Mix 2,What Would You Do?,Joel Corry;David Guetta;Bryson Tiller,02:54,https://open.spotify.com/track/1D2ZNECRd7KIlA4pyOUGsv
Daily Mix 2,Hurtless,Dean Lewis,03:00,https://open.spotify.com/track/6HJizCbaqaEQG1eLjn341Z
Daily Mix 2,Numb Little Bug,Em Beihold,02:49,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
Daily Mix 2,Where Are You Now,Lost Frequencies;Calum Scott,02:28,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
Daily Mix 2,Remind Me,Tom Grennan,03:31,https://open.spotify.com/track/6VIYEyjNW71NnIGEduf8D8
Daily Mix 2,Bad Habits,Ed Sheeran,03:50,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
Daily Mix 2,Lose My Mind (feat. Josh Franceschi) - Acoustic,James Arthur;You Me At Six;Josh Franceschi,03:19,https://open.spotify.com/track/3cOYrA35pfe2K6Ij3JCpkn
Daily Mix 2,Easy On Me,Adele,03:44,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
Daily Mix 2,Eyes Don’t Lie,Tones And I,03:56,https://open.spotify.com/track/2RSqIGxbnTQQjZIS5Iyakn
Daily Mix 2,Flowers,Lauren Spencer-Smith,02:37,https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc
Daily Mix 2,Where Did You Go? (feat. MNEK),Jax Jones;MNEK,02:57,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8
Daily Mix 2,Good Luck,Mabel;Jax Jones;Galantis,03:55,https://open.spotify.com/track/7CTdh15dTO5HqoeqRPHFha
Daily Mix 2,Mr. Forgettable,David Kushner,03:07,https://open.spotify.com/track/39ZVkOVxjG8ypNdUSVNkxU
Daily Mix 2,Belly Dancer,Imanbek;BYOR,02:31,https://open.spotify.com/track/7fZBQnc0zXwVybgCIrQQil
Daily Mix 2,Heaven Takes You Home (feat. Connie Constance),Swedish House Mafia;Connie Constance,03:34,https://open.spotify.com/track/3nEHrvNNtgLv9rneTAYVr4
Daily Mix 2,Unloving You,Anson Seabra,02:33,https://open.spotify.com/track/2w9nvs1ByWUGkED4M0ug34
Daily Mix 2,The Joker And The Queen (feat. Taylor Swift),Ed Sheeran;Taylor Swift,03:05,https://open.spotify.com/track/6N1K5OVVCopBjGViHs2IvP
Daily Mix 2,Young Right Now,Robin Schulz;Dennis Lloyd,03:06,https://open.spotify.com/track/0JpEMzTHbt2zBIXrntrXzG
Daily Mix 2,In The Dark,Purple Disco Machine;Sophie and the Giants,03:05,https://open.spotify.com/track/75UUG6x5zQe0gCVOiQpa6X
Daily Mix 2,Ferrari,James Hype;Miggy Dela Rosa,03:05,https://open.spotify.com/track/5xKJI9aPQhuTdTq8BrJ8fL
Daily Mix 2,Don’t Keep Me Waiting,SIDEPIECE,03:29,https://open.spotify.com/track/1aEHWqvtZ1JIBUl1loQBDn
Daily Mix 2,Can I Get It,Adele,03:30,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN
Daily Mix 2,Running,Martin Jensen;Cheat Codes;Theresa Rex,03:05,https://open.spotify.com/track/4hsRzEQg0t9qgtB4iXEGB5
Daily Mix 2,Overpass Graffiti,Ed Sheeran,03:56,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
Daily Mix 2,Someday,OneRepublic,03:07,https://open.spotify.com/track/6aDsgHPZsMztSbZernzlF8
Daily Mix 2,Sooner Or Later,Years & Years,03:20,https://open.spotify.com/track/3D5aBwEyq7Y5yPLnmj6AgP
Daily Mix 2,I Wish (feat. Mabel),Joel Corry;Mabel,03:01,https://open.spotify.com/track/0YORgvqP1MotwCnDZzOwII
