playlist,name,artists,duration,link
Daily Mix 5,Amsterdam,Cristian D;$hirak;Brysa;Ashafar,02:53,https://open.spotify.com/track/1YR7VB3xx85Iad2n3soyMb
Daily Mix 5,In M'n Bloed,Snelle,02:42,https://open.spotify.com/track/3hzxm5yFiOKeZ5f24Q9hsq
Daily Mix 5,Vluchtstrook,Kris Kross Amsterdam;Antoon;Sigourney K,02:28,https://open.spotify.com/track/63JrADDfrcjOaI6lyVkN3c
Daily Mix 5,Hallo,Antoon,02:12,https://open.spotify.com/track/7GwNDFyxvpHAd4l1IfUDmr
Daily Mix 5,Nog Een Dans,Lil Kleine,02:50,https://open.spotify.com/track/0Hzjf8BFxy6ziZowmNVFgf
Daily Mix 5,Okee Shordy,Trobi;Ronnie Flex;Chivv;ADF Samski,02:30,https://open.spotify.com/track/47AUY6Kl6iiuSzZbOgwGF9
Daily Mix 5,Als Jij Maar Bij Me Bent,MEAU,02:40,https://open.spotify.com/track/3x599jtfaReHmd6Ba77PD0
Daily Mix 5,Leven,Maan,02:14,https://open.spotify.com/track/2Mv9R8FDkPCjAghezGUgJC
Daily Mix 5,Je Blik Richting Mij,Bankzitters,02:25,https://open.spotify.com/track/3mafhqH8nGsvyZTN86IEOc
Daily Mix 5,Pizza Met Ananas,Snelle,02:42,https://open.spotify.com/track/5MCYr1sRABY6kNKdRK4ey7
Daily Mix 5,Hotelschool,Antoon,02:21,https://open.spotify.com/track/1R46BVgLnBXkVYAl31rKIF
Daily Mix 5,1234,Cristian D;Bilal Wahib;LA$$A,02:34,https://open.spotify.com/track/4abfmTMCQDA1VPamAm3c3j
Daily Mix 5,De Diepte,S10,02:56,https://open.spotify.com/track/7uQ7e7nzbtyX87eIYHpj6Z
Daily Mix 5,Bieber Van De Kroeg,Donnie;Mart Hoogkamer,03:06,https://open.spotify.com/track/5V2cXsvFE3VIQp5mYAi3Mn
Daily Mix 5,Wishlist,Ashafar;Ronnie Flex;Trobi,02:43,https://open.spotify.com/track/7GCvBgDjYWtOIo2Yg2GfKs
Daily Mix 5,Vanavond (Uit M'n Bol),Kris Kross Amsterdam;Donnie;Tino Martin,02:46,https://open.spotify.com/track/0gq4UgDPGFdqpsWshU7dmv
Daily Mix 5,Love Myself,RONDÉ,02:59,https://open.spotify.com/track/0iBWf9gz65kHxuQkZkrNUc
Daily Mix 5,Mijn Kleine Presidentje,Jaap Reesema,03:22,https://open.spotify.com/track/5Vrrxddu2CDh1wfysRPZJZ
Daily Mix 5,Missen Zou,Thomas Acda;Rolf Sanchez;Kraantje Pappie,02:47,https://open.spotify.com/track/2rdAPax7p9QRghy0wKiw6d
Daily Mix 5,Tantoe Lekker,Antoon;Big2,02:24,https://open.spotify.com/track/44qWZU2uA8T5JHGPvk1lUs
Daily Mix 5,Niks Mee Te Maken,Snelle,02:52,https://open.spotify.com/track/3wumtijPLTctdCnXASPH0C
Daily Mix 5,Jongens Van Plein,Lil Kleine;JoeyAK,02:24,https://open.spotify.com/track/50xUHMCmsbBOp6aaihNYyg
Daily Mix 5,Donkere Dagen,Trobi;Lijpe;Emms,03:34,https://open.spotify.com/track/4kEbVZsunb1dbuw9q4cf78
Daily Mix 5,Tussen Jou & Mij,Suzan & Freek,03:33,https://open.spotify.com/track/0YG5tlBAb11QwxdnXjvDPq
Daily Mix 5,Terug Bij Jou,TIJN,02:30,https://open.spotify.com/track/0MBjegaukmqnZexaaR1JvM
Daily Mix 5,Blub,Max Wallin';Fmg,02:57,https://open.spotify.com/track/34dzKikayiGHtk0aK7Ayn6
Daily Mix 5,Leuk,Antoon;Big2,02:27,https://open.spotify.com/track/2z43Tcnc82QqrOCHv5GG9J
Daily Mix 5,Misfit,Snelle,02:53,https://open.spotify.com/track/3OmBInNsWivzvTmFkVAtWK
Daily Mix 5,COKE IN DE UITVERKOOP,Mula B;Trobi,02:35,https://open.spotify.com/track/2H1Hw1WHpoaliGdCACb6Eh
Daily Mix 5,Einstein,Trobi;LouiVos;Mula B,02:39,https://open.spotify.com/track/0c6xCo2iquW4EsEOlEVaae
Daily Mix 5,Adem Je In - Remix,S10;Frenna;Kevin,03:43,https://open.spotify.com/track/5F469F5Dk2Zzm6BpP0OhVq
Daily Mix 5,Bounce,Fokke Simons;Jantje,02:38,https://open.spotify.com/track/6GGcXNjAc4RB0QFnKGnFHS
Daily Mix 5,Alsjeblieft,Josylvio;CHO;Henkie T,03:20,https://open.spotify.com/track/6EqWfORn8udIwOBx6NSktf
Daily Mix 5,Zo Ben Jij,Antoon;Sterre,02:04,https://open.spotify.com/track/1P4dmXqi9GzQTxEe51INvM
Daily Mix 5,Zwaartekracht,Snelle,02:50,https://open.spotify.com/track/1U00RpuBTRQEjD6gSllHAU
Daily Mix 5,Sukcesu Cena,Malik Montana;Trobi,02:10,https://open.spotify.com/track/20veKLZytv6RlQfobw5bYb
Daily Mix 5,Eyh!,Trobi;Josylvio;Poke,02:17,https://open.spotify.com/track/66fVxmiAoVIS4CKp0hcPWl
Daily Mix 5,Very Good Very Nice,Sleazy Stereo;Vos7,01:24,https://open.spotify.com/track/2mkg7ZINpqNeVcIyh3XhLS
Daily Mix 5,Achterop,Xerxes,02:40,https://open.spotify.com/track/5JtmyVfB56KjesfcJlIQAA
Daily Mix 5,Lichtje Branden,Suzan & Freek,02:52,https://open.spotify.com/track/16VFlUdJfBnF2UoMgTJIDI
Daily Mix 5,De Wereld Aan,Antoon,02:57,https://open.spotify.com/track/7LHOuojjvSgVoC5R6vK8po
Daily Mix 5,Buren,Turfy Gang,03:18,https://open.spotify.com/track/7erbctwXpJ5IMpZVgvI7Jm
Daily Mix 5,Man Sorry,Ruben Annink,02:17,https://open.spotify.com/track/3X4d1070hzDzzZlO2hEfUP
Daily Mix 5,Hazes,Billy Dans,02:52,https://open.spotify.com/track/6ftKmZdphjV48QRbGjrIyd
Daily Mix 5,Day & Night,Jezza;Estelle,02:20,https://open.spotify.com/track/79U5FDdqXQh6iud2qqkif6
Daily Mix 5,Blijven Slapen,Snelle;Maan,02:50,https://open.spotify.com/track/1Fc6lVQFPOcEVz3QWEzXWL
Daily Mix 5,Link Me,Trobi;Dopebwoy;JoeyAK,02:22,https://open.spotify.com/track/03hIVyffcjHEOkR82pf4Mb
Daily Mix 5,Discotheek,Antoon;Young Dylan,03:30,https://open.spotify.com/track/5phEsVyRZyudMTasCxnmEH
Daily Mix 5,Amsterdam,FLEMMING,02:52,https://open.spotify.com/track/0GRc10CjRqO0wtXUnxR1uY
Daily Mix 5,ABC,Turfy Gang;Mr. Polska;LA$$A,02:22,https://open.spotify.com/track/1uet9Atk3G9ZECKCd1Br0X
