playlist,name,artists,duration,link
Daily Mix 2,Bohemian Rhapsody - Remastered 2011,Queen,05:54,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
Daily Mix 2,The River,Bruce Springsteen,05:01,https://open.spotify.com/track/7HrzErXq3TsKOY1gmdIShB
Daily Mix 2,Wish You Were Here - 2011 Remaster,Pink Floyd,05:04,https://open.spotify.com/track/7aE5WXu5sFeNRh3Z05wwu4
Daily Mix 2,Cold Heart - PNAU Remix,Elton John;Dua Lipa;PNAU,03:22,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
Daily Mix 2,Pizza Met Ananas,Snelle,02:42,https://open.spotify.com/track/5MCYr1sRABY6kNKdRK4ey7
Daily Mix 2,Missen Zou,Thomas Acda;Rolf Sanchez;Kraantje Pappie,02:47,https://open.spotify.com/track/2rdAPax7p9QRghy0wKiw6d
Daily Mix 2,Nothing Else Matters,Metallica,06:28,https://open.spotify.com/track/0nLiqZ6A27jJri2VCalIUs
Daily Mix 2,Love Of My Life - Remastered 2011,Queen,03:37,https://open.spotify.com/track/4YJUTdZ0Pgl0ZeNyHYXeLd
Daily Mix 2,November Rain,Guns N' Roses,08:56,https://open.spotify.com/track/3YRCqOhFifThpSRFJ1VWFM
Daily Mix 2,Dead Inside,Nita Strauss;David Draiman;Disturbed,04:00,https://open.spotify.com/track/47xrDjgTsXiSczuZENqUoH
Daily Mix 2,Comfortably Numb - 2011 Remastered Version,Pink Floyd,06:19,https://open.spotify.com/track/7Fg4jpwpkdkGCvq1rrXnvx
Daily Mix 2,Brothers In Arms,Dire Straits,06:59,https://open.spotify.com/track/60bF2b61f7Q5Bt82QCBwvc
Daily Mix 2,Heroes - 2017 Remaster,David Bowie,06:11,https://open.spotify.com/track/7Jh1bpe76CNTCgdgAdBw4Z
Daily Mix 2,One,Metallica,07:27,https://open.spotify.com/track/5IX4TbIR5mMHGE4wiWwKW0
Daily Mix 2,I'm Still Standing,Elton John,03:03,https://open.spotify.com/track/1jDJFeK9x3OZboIAHsY9k2
Daily Mix 2,Piano Man,Billy Joel,05:36,https://open.spotify.com/track/3FCto7hnn1shUyZL42YgfO
Daily Mix 2,Hotel California - 2013 Remaster,Eagles,06:31,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
Daily Mix 2,Africa,TOTO,04:55,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
Daily Mix 2,Sultans Of Swing,Dire Straits,05:48,https://open.spotify.com/track/37Tmv4NnfQeb0ZgUC4fOJj
Daily Mix 2,Make it a Memory,Krezip;Danny Vera,03:29,https://open.spotify.com/track/4wNyXz7XVh4CfjTgstJr7T
Daily Mix 2,The Sound of Silence,Disturbed,04:08,https://open.spotify.com/track/1Cj2vqUwlJVG27gJrun92y
Daily Mix 2,Stairway to Heaven - Remaster,Led Zeppelin,08:02,https://open.spotify.com/track/5CQ30WqJwcep0pYcV4AMNc
Daily Mix 2,Paradise City,Guns N' Roses,06:45,https://open.spotify.com/track/6eN1f9KNmiWEhpE2RhQqB5
Daily Mix 2,The Sound of Silence,Simon & Garfunkel,03:04,https://open.spotify.com/track/3YfS47QufnLDFA71FUsgCM
Daily Mix 2,Vienna,Billy Joel,03:34,https://open.spotify.com/track/4U45aEWtQhrm8A5mxPaFZ7
