playlist,name,artists,duration,link
Daily Mix 4,Heroes - 2017 Remaster,David Bowie,06:11,https://open.spotify.com/track/7Jh1bpe76CNTCgdgAdBw4Z
Daily Mix 4,Sailing To Philadelphia,Mark Knopfler,05:53,https://open.spotify.com/track/5ti5SeraA9Ci7OtbLhEkz2
Daily Mix 4,Brothers In Arms,Dire Straits,06:59,https://open.spotify.com/track/60bF2b61f7Q5Bt82QCBwvc
Daily Mix 4,Cold Heart - PNAU Remix,Elton John;Dua Lipa;PNAU,03:22,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
Daily Mix 4,Vienna,Billy Joel,03:34,https://open.spotify.com/track/4U45aEWtQhrm8A5mxPaFZ7
Daily Mix 4,Bohemian Rhapsody - Remastered 2011,Queen,05:54,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
Daily Mix 4,Wish You Were Here - 2011 Remaster,Pink Floyd,05:04,https://open.spotify.com/track/7aE5WXu5sFeNRh3Z05wwu4
Daily Mix 4,November Rain,Guns N' Roses,08:56,https://open.spotify.com/track/3YRCqOhFifThpSRFJ1VWFM
Daily Mix 4,Hotel California - 2013 Remaster,Eagles,06:31,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
Daily Mix 4,Tunnel Of Love,Dire Straits,08:09,https://open.spotify.com/track/4ZSDreApKOo6eQYFx9qXfD
Daily Mix 4,Africa,TOTO,04:55,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
Daily Mix 4,Stairway to Heaven - Remaster,Led Zeppelin,08:02,https://open.spotify.com/track/5CQ30WqJwcep0pYcV4AMNc
Daily Mix 4,Love Of My Life - Remastered 2011,Queen,03:37,https://open.spotify.com/track/4YJUTdZ0Pgl0ZeNyHYXeLd
Daily Mix 4,Comfortably Numb - 2011 Remastered Version,Pink Floyd,06:19,https://open.spotify.com/track/7Fg4jpwpkdkGCvq1rrXnvx
Daily Mix 4,I'm Still Standing,Elton John,03:03,https://open.spotify.com/track/1jDJFeK9x3OZboIAHsY9k2
Daily Mix 4,Nothing Else Matters,Metallica,06:28,https://open.spotify.com/track/0nLiqZ6A27jJri2VCalIUs
Daily Mix 4,Sultans Of Swing,Dire Straits,05:48,https://open.spotify.com/track/37Tmv4NnfQeb0ZgUC4fOJj
Daily Mix 4,Piano Man,Billy Joel,05:36,https://open.spotify.com/track/3FCto7hnn1shUyZL42YgfO
Daily Mix 4,The River,Bruce Springsteen,05:01,https://open.spotify.com/track/7HrzErXq3TsKOY1gmdIShB
Daily Mix 4,Don't Stop Me Now - Remastered 2011,Queen,03:29,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
Daily Mix 4,The Sound of Silence,Simon & Garfunkel,03:04,https://open.spotify.com/track/3YfS47QufnLDFA71FUsgCM
Daily Mix 4,A Whiter Shade of Pale - Original Single Version,Procol Harum,04:08,https://open.spotify.com/track/78ZqE2tjAxbqEGGlvGnQfT
Daily Mix 4,Don't Go Breaking My Heart,Elton John;Kiki Dee,04:35,https://open.spotify.com/track/7HW5WIw7ZgZORCzUxv5gW5
Daily Mix 4,Time - 2011 Remastered Version,Pink Floyd,07:02,https://open.spotify.com/track/4xHWH1jwV5j4mBYRhxPbwZ
Daily Mix 4,Sweet Child O' Mine,Guns N' Roses,05:56,https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW
Daily Mix 4,My Life,Billy Joel,04:44,https://open.spotify.com/track/4ZoBC5MhSEzuknIgAkBaoT
